GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-common-auth,net.trajano.ms.authz.spi,ClientValidator,72,0,6,0,13,0,7,0,4,0
ms-common-auth,net.trajano.ms.authz.jsonclientvalidator,JsonClientValidator,111,0,14,0,21,0,18,0,11,0
ms-common-auth,net.trajano.ms.authz.jsonclientvalidator,Clients,10,0,0,0,4,0,3,0,3,0
ms-common-auth,net.trajano.ms.authz.jsonclientvalidator,ClientInfo,88,0,10,0,26,0,21,0,16,0
ms-common-auth,net.trajano.ms.authz.internal,TokenCacheEntry,81,0,6,0,24,0,13,0,10,0
ms-common-auth,net.trajano.ms.authz.internal,CacheNames,3,0,0,0,2,0,1,0,1,0
ms-common-auth,net.trajano.ms.authz.internal,TokenCache,156,63,14,2,38,13,13,5,5,5
ms-common-auth,net.trajano.ms.authz.internal,HazelcastConfiguration,79,0,2,0,26,0,4,0,3,0
ms-common-auth,net.trajano.ms.authz.internal,LoggingEntryListener,36,7,2,0,9,2,5,2,4,2
ms-common-auth,net.trajano.ms.auth.util,AuthorizationType,9,29,0,0,0,3,2,2,2,2
ms-common-auth,net.trajano.ms.auth.util,HttpAuthorizationHeaders,37,80,4,10,9,21,6,7,2,4
ms-common-auth,net.trajano.ms.auth.token,OAuthTokenResponse,40,0,2,0,14,0,11,0,10,0
ms-common-auth,net.trajano.ms.auth.token,GrantTypes,3,0,0,0,2,0,1,0,1,0
ms-common-auth,net.trajano.ms.auth.token,IdTokenResponse,26,0,0,0,11,0,4,0,4,0
ms-common-auth,net.trajano.ms.authz,RevocationResource,71,0,8,0,15,0,7,0,3,0
ms-common-auth,net.trajano.ms.authz,Authorization,3,0,0,0,2,0,1,0,1,0
ms-common-auth,net.trajano.ms.authz,ClientCheckRequest,17,0,0,0,7,0,5,0,5,0
ms-common-auth,net.trajano.ms.authz,TokenResource,263,0,28,0,58,0,21,0,7,0
ms-common-auth,net.trajano.ms.authz,ClientCheckResource,82,0,10,0,20,0,9,0,4,0
