GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Common Microservice Implementation/ms-common,net.trajano.ms.spi,MDCKeys,0,3,0,0,0,2,0,1,0,1
Common Microservice Implementation/ms-common,net.trajano.ms.spi,CacheNames,0,3,0,0,0,2,0,1,0,1
Common Microservice Implementation/ms-common,net.trajano.ms,Microservice,0,98,0,6,0,24,0,8,0,5
Common Microservice Implementation/ms-common,net.trajano.ms.core,ErrorResponse.LocalStackTraceElement,0,34,0,0,0,12,0,2,0,2
Common Microservice Implementation/ms-common,net.trajano.ms.core,Qualifiers,0,3,0,0,0,2,0,1,0,1
Common Microservice Implementation/ms-common,net.trajano.ms.core,CryptoOps,2,6,0,0,1,1,1,1,1,1
Common Microservice Implementation/ms-common,net.trajano.ms.core,JsonOps,80,8,8,0,8,1,8,1,4,1
Common Microservice Implementation/ms-common,net.trajano.ms.core,NonceOps,0,10,0,0,0,3,0,1,0,1
Common Microservice Implementation/ms-common,net.trajano.ms.core,NonceObject,0,10,0,0,0,4,0,3,0,3
Common Microservice Implementation/ms-common,net.trajano.ms.core,JwtClaimsSetPrincipal,47,38,12,0,16,9,8,4,2,4
Common Microservice Implementation/ms-common,net.trajano.ms.core,ErrorResponse,5,292,0,16,2,78,1,25,1,17
Common Microservice Implementation/ms-common,net.trajano.ms.core,ErrorCodes,0,3,0,0,0,2,0,1,0,1
Common Microservice Implementation/ms-common,net.trajano.ms.core,ErrorResponses,0,74,0,0,0,23,0,7,0,7
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.jaxrs,VertxSecurityContext,16,0,0,0,7,0,5,0,5,0
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.jaxrs,CommonObjectMapperProvider,0,6,0,0,0,2,0,2,0,2
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.jaxrs,WebApplicationExceptionMapper,0,6,0,0,0,2,0,2,0,2
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.swagger,ClonableSwagger,0,78,0,0,0,19,0,2,0,2
Common Microservice Implementation/ms-engine,net.trajano.ms.engine,SwaggerHandler,25,149,2,4,7,35,2,9,0,8
Common Microservice Implementation/ms-engine,net.trajano.ms.engine,ManifestHandler,6,65,0,2,2,16,0,6,0,5
Common Microservice Implementation/ms-engine,net.trajano.ms.engine,SpringJaxRsHandler,116,475,18,16,15,92,15,19,1,16
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.spring,CdiScopeMetadataResolver,0,48,0,6,0,15,0,5,0,2
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.spring,SpringConfiguration,0,31,0,0,0,9,0,4,0,4
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.spring,ContainerRequestScope,46,78,5,3,15,22,8,7,4,7
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.spring,VertxRequestContextFilter,0,8,0,0,0,5,0,3,0,3
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal,VertxBlockingInputStream,42,152,3,9,12,38,7,12,4,9
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal,BufferUtil,36,42,6,4,1,9,4,3,0,2
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal,VertxRoutingContextHttpHeaders,100,34,10,2,21,11,14,4,8,4
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal,VertxBufferInputStream,19,43,2,2,3,10,2,3,1,2
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal,Conversions,116,75,3,5,21,16,9,6,7,4
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal,VertxOutputStream,50,62,10,4,10,22,8,6,1,6
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal,NullInputStream,2,10,0,0,1,3,1,3,1,3
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal,Symbol,0,75,0,8,0,15,0,9,0,5
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,VertxHttpResponse,46,51,2,0,13,14,6,6,5,6
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,VertxClientEngine,115,93,15,3,12,22,11,4,2,4
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,VertxClientResponse,31,100,1,1,7,25,3,7,2,7
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,VertxOutputHeaders.VertxOutputHeadersMap,38,34,0,0,8,7,5,2,5,2
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,CaseInsenstiveMultivalueStringMap,0,7,0,0,0,2,0,1,0,1
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,VertxOutputHeaders,0,7,0,0,0,2,0,1,0,1
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,VertxHttpRequest,26,83,0,2,7,19,6,10,6,9
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,VertxExecutionContext,54,21,1,1,9,7,5,3,4,3
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,SemaphoredHeaders,61,59,0,0,8,15,2,6,2,6
Common Microservice Implementation/ms-engine,net.trajano.ms.engine.internal.resteasy,VertxAsynchronousResponse,259,117,17,5,66,30,35,7,24,7
