GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Microservice Engine,net.trajano.ms.engine.jaxrs,VertxSecurityContext,16,0,0,0,7,0,5,0,5,0
Microservice Engine,net.trajano.ms.engine.jaxrs,CommonObjectMapperProvider,0,6,0,0,0,2,0,2,0,2
Microservice Engine,net.trajano.ms.engine.jaxrs,WebApplicationExceptionMapper,0,6,0,0,0,2,0,2,0,2
Microservice Engine,net.trajano.ms.engine.internal.swagger,ClonableSwagger,0,78,0,0,0,19,0,2,0,2
Microservice Engine,net.trajano.ms.engine,SwaggerHandler,26,148,2,4,8,34,3,8,1,7
Microservice Engine,net.trajano.ms.engine,ManifestHandler,7,64,0,2,3,15,1,5,1,4
Microservice Engine,net.trajano.ms.engine,SpringJaxRsHandler,156,435,23,11,24,83,19,15,2,15
Microservice Engine,net.trajano.ms.engine.internal.spring,CdiScopeMetadataResolver,0,48,0,6,0,15,0,5,0,2
Microservice Engine,net.trajano.ms.engine.internal.spring,SpringConfiguration,0,31,0,0,0,9,0,4,0,4
Microservice Engine,net.trajano.ms.engine.internal.spring,ContainerRequestScope,46,78,5,3,15,22,8,7,4,7
Microservice Engine,net.trajano.ms.engine.internal.spring,VertxRequestContextFilter,0,8,0,0,0,5,0,3,0,3
Microservice Engine,net.trajano.ms.engine.internal,VertxBlockingInputStream,80,114,3,9,20,30,11,8,8,5
Microservice Engine,net.trajano.ms.engine.internal,BufferUtil,36,42,6,4,1,9,4,3,0,2
Microservice Engine,net.trajano.ms.engine.internal,VertxRoutingContextHttpHeaders,100,34,10,2,21,11,14,4,8,4
Microservice Engine,net.trajano.ms.engine.internal,VertxBufferInputStream,19,43,2,2,3,10,2,3,1,2
Microservice Engine,net.trajano.ms.engine.internal,Conversions,122,69,4,4,22,15,10,5,7,4
Microservice Engine,net.trajano.ms.engine.internal,VertxOutputStream,50,62,10,4,10,22,8,6,1,6
Microservice Engine,net.trajano.ms.engine.internal,NullInputStream,2,10,0,0,1,3,1,3,1,3
Microservice Engine,net.trajano.ms.engine.internal,Symbol,0,75,0,8,0,15,0,9,0,5
Microservice Engine,net.trajano.ms.engine.internal.resteasy,VertxHttpResponse,46,51,2,0,13,14,6,6,5,6
Microservice Engine,net.trajano.ms.engine.internal.resteasy,VertxClientEngine,115,93,15,3,12,22,11,4,2,4
Microservice Engine,net.trajano.ms.engine.internal.resteasy,VertxClientResponse,42,89,1,1,10,22,4,6,3,6
Microservice Engine,net.trajano.ms.engine.internal.resteasy,VertxOutputHeaders.VertxOutputHeadersMap,38,34,0,0,8,7,5,2,5,2
Microservice Engine,net.trajano.ms.engine.internal.resteasy,CaseInsenstiveMultivalueStringMap,0,7,0,0,0,2,0,1,0,1
Microservice Engine,net.trajano.ms.engine.internal.resteasy,VertxOutputHeaders,0,7,0,0,0,2,0,1,0,1
Microservice Engine,net.trajano.ms.engine.internal.resteasy,VertxHttpRequest,34,75,1,1,8,18,7,9,6,9
Microservice Engine,net.trajano.ms.engine.internal.resteasy,VertxExecutionContext,54,21,1,1,9,7,5,3,4,3
Microservice Engine,net.trajano.ms.engine.internal.resteasy,SemaphoredHeaders,65,55,0,0,10,13,3,5,3,5
Microservice Engine,net.trajano.ms.engine.internal.resteasy,VertxAsynchronousResponse,259,117,17,5,66,30,35,7,24,7
