GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API Gateway,net.trajano.ms.gateway.handlers,RefreshHandler,166,32,10,0,54,11,7,3,2,3
API Gateway,net.trajano.ms.gateway.handlers,RequestIDHandler,0,25,0,0,0,8,0,4,0,4
API Gateway,net.trajano.ms.gateway.handlers,ProtectedHandler,319,28,16,0,73,7,13,3,5,3
API Gateway,net.trajano.ms.gateway.handlers,UnprotectedHandler,201,28,10,0,29,7,11,3,6,3
API Gateway,net.trajano.ms.gateway.handlers,RevocationHandler,132,32,6,0,37,11,5,3,2,3
API Gateway,net.trajano.ms.gateway.handlers,AuthenticatedClientValidator,212,55,16,0,52,17,13,4,5,4
API Gateway,net.trajano.ms.gateway.handlers,SelfRegisteringRoutingContextHandler,5,3,0,0,1,1,1,1,1,1
API Gateway,net.trajano.ms.gateway.handlers,GlobalFailureHandler,93,13,10,0,18,4,6,3,1,3
API Gateway,net.trajano.ms.gateway.handlers,UnauthenticatedClientValidator,155,13,12,0,37,4,11,3,5,3
API Gateway,net.trajano.ms.gateway.internal,PathContext,17,15,0,0,5,6,5,1,5,1
API Gateway,net.trajano.ms.gateway.internal,MediaTypes,3,0,0,0,2,0,1,0,1,0
API Gateway,net.trajano.ms.gateway.internal,Conversions,95,0,8,0,21,0,8,0,4,0
API Gateway,net.trajano.ms.gateway.internal,ContextSettingHandler,37,16,0,0,4,4,1,2,1,2
API Gateway,net.trajano.ms.gateway.internal,Errors,32,0,0,0,10,0,7,0,7,0
API Gateway,net.trajano.ms.gateway.internal,Predicates,0,86,0,10,0,6,0,9,0,4
API Gateway,net.trajano.ms.gateway,GatewayVerticle,20,32,1,1,2,7,2,4,1,4
API Gateway,net.trajano.ms.gateway,GatewayMS,42,9,2,0,10,3,2,2,1,2
API Gateway,net.trajano.ms.gateway.providers,GatewayClientAuthorization,6,29,0,0,1,3,1,2,1,2
API Gateway,net.trajano.ms.gateway.providers,VertxBeanProvider,0,17,0,0,0,5,0,5,0,5
API Gateway,net.trajano.ms.gateway.providers,RequestIDProvider,0,50,0,2,0,11,0,4,0,3
API Gateway,net.trajano.ms.gateway.providers,ConfigurationProvider,9,20,0,0,3,6,1,3,1,3
API Gateway,net.trajano.ms.gateway.providers,Routes,84,266,3,7,9,31,2,7,0,4
