
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       316
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1158           0.0.0.0:0              LISTENING       6916
  TCP    0.0.0.0:1521           0.0.0.0:0              LISTENING       3312
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3548
  TCP    0.0.0.0:2772           0.0.0.0:0              LISTENING       10340
  TCP    0.0.0.0:3460           0.0.0.0:0              LISTENING       3452
  TCP    0.0.0.0:3465           0.0.0.0:0              LISTENING       3428
  TCP    0.0.0.0:3938           0.0.0.0:0              LISTENING       7008
  TCP    0.0.0.0:5001           0.0.0.0:0              LISTENING       2724
  TCP    0.0.0.0:5520           0.0.0.0:0              LISTENING       6916
  TCP    0.0.0.0:6161           0.0.0.0:0              LISTENING       3444
  TCP    0.0.0.0:9083           0.0.0.0:0              LISTENING       2284
  TCP    0.0.0.0:29916          0.0.0.0:0              LISTENING       20612
  TCP    0.0.0.0:49595          0.0.0.0:0              LISTENING       868
  TCP    0.0.0.0:49640          0.0.0.0:0              LISTENING       5068
  TCP    0.0.0.0:49653          0.0.0.0:0              LISTENING       860
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       792
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1124
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       668
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       868
  TCP    0.0.0.0:50128          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:50570          0.0.0.0:0              LISTENING       20612
  TCP    0.0.0.0:50571          0.0.0.0:0              LISTENING       16428
  TCP    0.0.0.0:62491          0.0.0.0:0              LISTENING       3712
  TCP    10.0.75.1:139          0.0.0.0:0              LISTENING       4
  TCP    10.0.75.1:445          10.0.75.2:51980        ESTABLISHED     4
  TCP    10.0.75.1:1521         10.0.75.1:49648        ESTABLISHED     3312
  TCP    10.0.75.1:1521         10.0.75.1:61361        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61362        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61364        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61365        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61367        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61383        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61384        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61386        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61387        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61390        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61411        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61416        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61417        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61419        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61420        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61426        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61439        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61440        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61442        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61443        TIME_WAIT       0
  TCP    10.0.75.1:1521         10.0.75.1:61445        TIME_WAIT       0
